Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
Ɓɔŋ i ŋāŋal ɓe miŋkwɛ̀l mi hiyı̀ndi!	Boñ i ñañal bé miñkwel mi hiyindi!
Malêt nunu à mɓı̄bil ɓɔŋgɛ maɓāy ma mɔɔ.	Malét nunu a mbibil boñge mabay ma moo.
Mùt à m̂ɓêl mɛ nyàgà i mbay.	Mut a mbél me nyaga i mbay.
À ǹsɔŋ yaga nyɔɔ̄ likɔ̀mb li nyòl.	A nsoñ yaga nyoo likomb li nyôl.
Njàŋgi ı̀ yè hii kɛl sɔ̄ndɛ̂; ɓa nsul nyɛ njàŋgi.	Njañgi i yé hii kel sonde; ba nsul nye njañgi.
Sèk bı̀kay.	Sék bikay.
Mɛ m̂ɓodop i nàŋ.	Me mbôdôp i nañ.
Ɓɔ̀ngɛ ɓa mpûdna kı̀i njèe.	Bonge ba mpudna kii njéé.
Ɓɔt ŋ̀ɛm yak Hı̀lòlômb.	Bot ñem yak Hilôlômb.
Hâhà, ɓɔ̀ nyɛ halà à ǹlɔ nı̄! .	Haha, bo nye hala a nlo ni! .
Nı̀ ǹlama tindɛ ɓɔŋgɛ ɓàtidigi i sǔglù.	Ni nlama tinde boñge batidigi i suglu.
Kuur ı̀ ǹjôp i lɔ̌m.	Kuur i njôp i lom.
Pop kı̀kı̀i pɛ̄m (Màs 1,14).	Pôp kikii pem (Mas 1,14).
Màŋgɛ à mɓɛ̀ŋɛl tuyɛ̂.	Mañge a mbeñel tuye.
Nɔ̌p à nnɔ̄.	Nop a nno.
Ɛ i ŋkwɔ̂, i ɓugi ŋgeŋ ŋgēŋ.	E i ñkwo, i bugi ñgéñ ñgéñ.
À ǹsɛmb likɔ̀ŋ.	A nsemb likoñ.
Mbı̀ŋ ı̀ lı̀kas li ndap.	Mbiñ i likas li ndap.
Koy ı̀ njɛ̄ nsòa lisɛŋg.	Kôy i nje nsôa liseñg.
Hɔ̀hlɛnɛ màŋgɛ jɔmb lini! .	Hohlene mañge jomb lini! .
Mbàndà yèe ı̀ ǹloòhà.	Mbanda yéé i nlôôha.
Mı̀ntɔ̀nɓà mi nnòŋol dilɔ̄lɔŋa.	Mintonba mi nnôñôl diloloña.
Mı̀ntɔ̀nɓà mi nnòŋol dilɔ̄lɔŋa.	Mintonba mi nnôñôl diloloña.
Hı̀ka liɓɛ̀m.	Hika libem.
Mɛ̀ ǹselel nyɛ njɔ̀ɔ.	Me nsélél nye njoo.
Ɓa nti mût ǹsòo mbâk lɛ a nyɔ.	Ba nti mut nsôô mbak le a nyo.
Màŋgɛ nunu à yè dûm.	Mañge nunu a yé dum.
Mbɔt yɔ̂ŋ ı̀ ǹhunâ .	Mbot yoñ i nhuna .
Màndap mɛ̂m ma maɓàdò ma ŋobı̄ bitee bı̀lòŋi, yàk màɓàdò mɛ̂m ma ŋwɛmɛ̄l kunda yada. Yèr.4,20.	Mandap mem ma mabadô ma ñôbi bitéé bilôñi, yak mabadô mem ma ñwemel kunda yada. Yér.4,20.
Mɛ̀ ɓak i ɓı̀ı̀ wɔ̀m wɛ̂m lɛ̀n.	Me bak i bii wom wem len.
Hı̀sɔɔ hyɛ̂m hi ye hɛ̄ɛ? Hyɔ hı̄ni!	Hisoo hyem hi yé hee? Hyo hini!
Nùga i ŋgwi(y)ā i hyàndi.	Nuga i ñgwi(y)a i hyandi.
Ŋwàà ɓɔ ǹlom ɓa ŋkı̀ı̀ŋà.	Ñwaa bo nlôm ba ñkiiña.
Kwadɛ à m̂ɓôn.	Kwade a mbôn.
Pùŋgàmɛ̂l nyɛn à yè munu i ndāp yɔ̂ŋ!.	Puñgamel nyen a yé munu i ndap yoñ!.
Njèe ı̀ mpàŋga gwalâk.	Njéé i mpañga gwalak.
À mɓɔ̄l liaa.	A mbol liaa.
Sɔ̀ŋ ı̀ yè lı̀nòyoy li nsok li hi mùt.	Soñ i yé linôyôy li nsôk li hi mut.
Kı̀i Milla Roger à ǹha bɔ̂y, mbɔk i ɓegel lɛ jeè!	Kii Milla Rôgér a nha boy, mbok i bégél le jéé!
Ŋɛm u nsōŋgol mɛ̂.	Ñem u nsôñgôl me.
Mùt nunu à yè bı̀tidigi bi kɔ̂n.	Mut nunu a yé bitidigi bi kon.
Hònd miŋaŋ mı̀nlam.	Hônd miñañ minlam.
Mɛ̀ nhyɛ̀t pondı̄.	Me nhyet pôndi.
Ŋ̀kadâk u njɛ̂l.	Ñkadak u njel.
Ndandaŋg yee i ŋkı̀s ɓe ɓes hilɔ̄.	Ndandañg yéé i ñkis bé bés hilo.
Nyɔ̀ɔ ı̀ ǹlɛlɛp i njɛ̀l.	Nyoo i nlelep i njel.
Lı̀ɓeghàk li Nyambɛ lı̄ lôk saŋgo .	Libéghak li Nyambe li lôk sañgô .
"Petrò ɓɔ Yòhanɛ̀s ɓa ɓe aŋâl bı̀tùgnɛ ikède ɓàwɔga inyùu Yesù" MƁ 4:2.	"Pétrô bo Yôhanes ba bé añal bitugne ikédé bawoga inyuu Yésu" MB 4:2.
Ŋ̀ɔ mbɔk Afrı̌kà u gweē ŋ̀ɔ̀ŋ.	Ño mbok Afrika u gwéé ñoñ.
Haŋ màkàlà.	Hañ makala.
Wı̀p wap u ńyı̂mbha mɛ bı̀jɛk gwɛ̂m, dı̀ ǹyimbha gwɔ.	Wip wap u nyimbha me bijek gwem, di nyimbha gwo.
Pak i ndâmb.	Pak i ndamb.
Loŋhɛ mɛ̀ ɓòmgà, mɛ̀ ŋkɛ̀ i ɓɔ̄l cèe.	Lôñhe me bômga, me ñke i bol tjéé.
Jàm lı̂, li njes mɛ kɔ̄gɔ.	Jam li, li njés me kogo.
Nyambɛ à ntēeda ɓôt ɓe; dı̀ ǹteeda bijɛk gwes.	Nyambe a ntééda bôt bé; di ntééda bijek gwés.
Nunu mùdàa à mpūbul i sū.	Nunu mudaa a mpubul i su.
Lı̀ɓonôk jee li jâm li ńyɔ̂n ɓe.	Libônôk jéé li jam li nyon bé.
Njɔ̀k ı̀ yè sɔsɔ̄ nùga; njɔ̀k ı̀.	Njok i yé soso nuga; njok i.
Jɔ̀p li naŋ lɛ kɔŋkɔŋ!	Jop li nañ le koñkoñ!
Mɛ̀ yè ǹyɛ̌ghɛ̀gɛ̀ nı̀ ǹsɔn.	Me yé nyeghege ni nson.
Kɔglɛ mɛ̀ mbɔt ini.	Kogle me mbot ini.
Jàs li nsɛlā nyɛ.	Jas li nsela nye.
Lɔ̀ tɛhɛ mɛ̀, i tiga lɛ ù yeglɛ̀.	Lo tehe me, i tiga le u yégle.
Bı̀ɓegês bi kolı̄ nı̀ Yèhovà Nyambɛ̂..	Bibégés bi kôli ni Yéhôva Nyambe..
À m̂ɓodɓɛnɛ gwɔm gwee.	A mbôdbene gwom gwéé.
Bı̀kend bi ye hāna i mbāy yɔ̂ŋ.	Bikénd bi yé hana i mbay yoñ.
Hɛɛ ù m̂pobōl i nyà ı̀ni?	Hee u mpôbôl i nya ini?
À ŋ̀kabdɛ ki ı̀ gwaŋan gwɔm.	A ñkabde ki i gwañan gwom.
Ti mɛ̀ nı̀ŋ, yɔn mɛ̀ ńyàgàl, yàk lɔ̀ŋ yɛ̂m, yɔn mɛ̀ ńyēt (Est 7,3).	Ti me niñ, yon me nyagal, yak loñ yem, yon me nyét (Ést 7,3).
Ɓèŋgɛ kı̀i à ntòmdɛ ni ǹlɔŋ wɔnsô.	Béñge kii a ntômde ni nloñ wonsô.
Ti mɛ̀ hyɔlɛ̀ mɛ̀ nsàs binan.	Ti me hyole me nsas binan.
Ù yè u kǎnd jàŋ, kèndel i yeglɛ̀.	U yé u kand jañ, kéndél i yégle.
Ŋ̀kɔ̀t ŋ̀kùs.	Ñkot ñkus.
Lɔ̌m à ǹhol.	Lom a nhôl.
Ɓòt ɓa ncagna hɔp.	Bôt ba ntjagna hop.
I mùt nunu à gwèe lı̀kus i mbūs.	I mut nunu a gwéé likus i mbus.
Ù tagɓɛ ɓâŋ hana, à ǹtagɓɛ ɓɔŋgɛ ɓɔɓasɔ̂ i ndāp sǔglù.	U tagbe bañ hana, a ntagbe boñge bobaso i ndap suglu.
À lɔga lɔ̀ɔ lɛ̄!	A loga loo le!
Ɓòdàa ɓa yê ŋgòŋòò màmbɔt ma nlòŋ.	Bôdaa ba yé ñgôñôô mambot ma nlôñ.
Kagò ı̀ ŋ̀gwɛ̂l nyɛ, à wɔ podo.	Kagô i ñgwel nye, a wo pôdô.
Kɔ̀ɔ̀ mbɛ̀m.	Koo mbem.
Nuga i mɓumbul yaga nyɔɔ̄ i pam mɛ mūnu wɔ̀m kakāò.	Nuga i mbumbul yaga nyoo i pam me munu wom kakaô.
Lı̀tuulaga li mût, li ŋgɔ̂k.	Lituulaga li mut, li ñgok.
Sɛ̀l i mandùndi.	Sel i mandundi.
Ɓaha lı̀kɔâ.	Baha likoa.
Ǹtɔl ɓòt à yè hɛɛ? (Yès 33,18).	Ntol bôt a yé hee? (Yés 33,18).
Màpubi ma mɓāy ɓâàm ntolâ (Ez 1,27+28).	Mapubi ma mbay baam ntôla (Éz 1,27+28).
Ɓàa à ǹheŋā wɛ mɔ̀ni?	Baa a nhéña we moni?
Kii ù ntēmel jaŋan liɓâk?	Kii u ntémél jañan libak?
Lı̀ɓiiɓàk li maŋ mût i kɛ̀gi ɓɔ̀ŋgɛ.	Libiibak li mañ mut i kegi boñge.
Sùus mǎn i nàŋ.	Suus man i nañ.
Kàlak mɛ̀ ndɔŋ.	Kalak me ndoñ.
Lı̀ɓàm li masày.	Libam li masay.
Inyùu hēmlɛ̀ nyɛn dı̀ ńyı̀mbɛ lɛ ŋ̀kɔ̀ŋ isi u tēeba nı̀ lı̀podol li Nyambɛ̂ (LH 11,3).	Inyuu hémle nyen di nyimbe le ñkoñ isi u tééba ni lipôdôl li Nyambe (LH 11,3).
Bikèlel gwee à ǹlama têmb lɛ̂n kokōa.	Bikélél gwéé a nlama témb len kôkôa.
Ǹlend u ntùgul ɓe mı̂m.	Nlénd u ntugul bé mim.
Sɛdɛl yèènɛ yɔŋ!	Sedel yééne yoñ!
Lɔ̀ɔ yāga caŋcɛ̀s.	Loo yaga tjañtjes.
Tandɛ̂ yɛ̂m i mɓoō.	Tande yem i mbôô.
Hı̀lɔga hyɔŋ hi biūus ŋgandàk bı̀kɛ̀y.	Hiloga hyoñ hi biuus ñgandak bikey.
Kɛ̀ ɓɛ̀gɛɛ mɛ̀ kɔn(d) têk.	Ke begee me kon(d) ték.
Kɛ̀ ɓɛ̀gɛɛ mɛ̀ kɔn(d) têk.	Ke begee me kon(d) ték.
Ɓuglà hɔ̄p:...lɔ̀ŋ i ɓuglàgà kà (ı̀) yè lɛ ù nlà ɓe yi jàm ɓa mpɔ̄t (Yès 33,19).	Bugla hop:...loñ i buglaga ka (i) yé le u nla bé yi jam ba mpot (Yés 33,19).
Lı̀yènèk jɔŋ li ye lı̀ɓɛ.	Liyénék joñ li yé libe.
Njɛ̌l ı̀ tà ɓe i pɔ̀ɔ̀ mɔ̀ni.	Njel i ta bé i poo moni.
Mǎn à nsōn inyùulɛ̄̄ à ntɛ̄hɛ ɓe nyâŋ.	Man a nsôn inyuule a ntehe bé nyañ.
Ǹsiŋga njɛ̂l.	Nsiñga njel.
Ŋgwɔ ı̀ni ı̀ gwèe bı̀kokom.	Ñgwo ini i gwéé bikôkôm.
Bı̀nyɔnyɔ̀ bi nhyūuhà.	Binyonyo bi nhyuuha.
Ǹsondo u mpomâ.	Nsôndô u mpôma.
Lı̀ɓèŋgnɛ li masày li ye mbay dɔ̂ktà.	Libéñgne li masay li yé mbay dokta.
Mòŋgo u leŋi ŋgı̀i màlep.	Môñgô u léñi ñgii malép.
Màlêt à mɓı̄bil man i ŋɔ̄ŋ.	Malét a mbibil man i ñoñ.
Ŋgǒy bı̀kay ı̀ yè lɔŋgɛ nlāmb.	Ñgôy bikay i yé loñge nlamb.
Ɓebɓàhà màlep ma yaā.	Bébbaha malép ma yaa.
À yè ŋ̀gwèlèl ŋgɔmı̂n.	A yé ñgwélél ñgomin.
Ù nɔk lɛ mùt à nlà ɓe "ɓada liɓàŋgà hiɓɛ̀ɛ", halā wɛ̀ɛ à ntɔ̀mbɔk ŋgandàk, tɔ̀ njɛ yaga ɓa ŋkàl lɛ à tà ɓe lɛ à la jɛ̄, à nlà ɓe sambal wɔɔ lɛ tɔ̀ lı̀ɓàŋgà li lı̄ ntɔ̀mb a ɓada tɔ̀ a kahal jɛ̄.	U nok le mut a nla bé "bada libañga hibee", hala wee a ntombok ñgandak, to nje yaga ba ñkal le a ta bé le a la je, a nla bé sambal woo le to libañga li li ntomb a bada to a kahal je.
ı̀Ni mbedge ı̀ nnɛ̀da i ndèè hı̀lòndɛ̀.	ini mbédgé i nneda i ndéé hilônde.
Jòlol li liɓê.	Jôlôl li libé.
Yàmâ i mût, yɔ̀ma ı̄ yɔm.	Yama i mut, yoma i yom.
Ǹnɔl bı̀nyàgà à ntòl ni bı̀tɔŋ.	Nnol binyaga a ntôl ni bitoñ.
Hèŋhà mɔ̀ni.	Héñha moni.
Yɔ̌m ɓa nti mɛ̂ hı̀ŋgòŋ.	Yom ba nti me hiñgôñ.
Mùt à ŋ̀kwâgdɛ̄ mɛ lı̄pɛ̄p.	Mut a ñkwagde me lipep.
À ǹnyedlaha mɛ m̂pek u mɓòŋ, dı̀ ǹnyedlaha mbɛgɛ̀ɛ̀ yes.	A nnyédlaha me mpék u mbôñ, di nnyédlaha mbegee yés.
Ɓěs wɛ̀ dı̀ m̂ɓêdha mbâdgà yàda.	Bés we di mbédha mbadga yada.
Kɛ̀na màsày nı̀ tı̀bi maɓèŋgɓà.	Kena masay ni tibi mabéñgba.
Leles nyɛp ?	Lélés nyep ?
Bɔ̂l ı̀ nsāglà ɓe.	Bol i nsagla bé.
Mùt hı̀weya hi wɔɔ à ńyēŋ mahola mēs .	Mut hiwéya hi woo a nyéñ mahôla més .
Mɛ̀ ǹlôl i Dı̀yɛ̂; mɛ̀ ǹlôl i màtoà; mɛ̀ ǹlôl ɓe mɛ wɛ̀.	Me nlôl i Diye; me nlôl i matôa; me nlôl bé me we.
Mùdàa à ǹlamb bijɛk nı̀ mòo ma kôyɓàk lɛ ɓèèm.	Mudaa a nlamb bijek ni môô ma kôybak le béém.
Màlêt à nsēlha ɓɔŋgɛ.	Malét a nsélha boñge.
Lı̀temêk li kɛ̂y li ta ɓe kı̀i lı̄ mɔɔ.	Litémék li key li ta bé kii li moo.
À m̂ɓôn mɛ kwādɛ.	A mbôn me kwade.
Ù nnūynɛ kii bijɛk?	U nnuyne kii bijek?
Wɛ̀ɛ? wɛ̀ɛ̀ kii?	Wee? wee kii?
Ɓàhàl yɔn i nnyı̀ha nyɛ; kop yes i nnyihā macɛ̀ɛ.	Bahal yon i nnyiha nye; kôp yés i nnyiha matjee.
M̀ɓii mùdàa à m̂pemel (i) ŋgı̄da yèe (Hyèm 19,6).	Mbii mudaa a mpémél (i) ñgida yéé (Hyém 19,6).
Lɔ̀ŋgɛ nı̀ Kèlè à yè ŋgı̀m pɛ̀s mbɔk.	Loñge ni Kélé a yé ñgim pes mbok.
Ǹlom pàgi à m̂ɓemel mɛ hāna majùbul ma lipàn.	Nlôm pagi a mbémél me hana majubul ma lipan.
Lɛ̀mà kùlùm .	Lema kulum .
Màlɛ̀p ma tanɛ̀ ɓe (i) màndudu.	Malep ma tane bé (i) mandudu.
Mɛ̀ ŋ́wàghɛ (ŋ)kwadɛ wɛ̂m.	Me ñwaghe (ñ)kwade wem.
Mùt màɔŋ à m̂mâl sôblɛ miŋkɔnd mi simɛ̂t!	Mut maoñ a mmal sôble miñkond mi simet!
Lı̀òmɓàk mùdàa jɛ̌m à ŋ̀ombòp.	Liômbak mudaa jem a ñômbôp.
Lı̀ɓim li nsɔn.	Libim li nson.
Mbɔt ı̀ ŋ̀wehnɛ nyɛ i sàŋ.	Mbot i ñwéhne nye i sañ.
Ɓa ŋɔ̀gnà.	Ba ñogna.
Mudàa à ek ndap lı̀ɓiı̂.	Mudaa a ék ndap libii.
Hı̀ɓèbek hi nta nyɛ.	Hibébék hi nta nye.
Ŋgı̀ŋgiŋà ı̀ gwèe mɛ̀.	Ñgiñgiña i gwéé me.
À ŋ̀kɛt hiyɛŋ .	A ñket hiyeñ .
Mbùgà ɓɔ̀blà?	Mbuga bobla?
Mùt à ntāgɓɛ hyâshyàs .	Mut a ntagbe hyashyas .
Mbaagɛ i ye nyɛ̄ (i) mbūs.	Mbaage i yé nye (i) mbus.
Kòba, lɛ̀n nı̀ mùnɛ.	Kôba, len ni mune.
À ǹsûndlaha mɛ̂ ŋ̀kòò, dı̀ ǹsûndlaha ŋgolı̂.	A nsundlaha me ñkôô, di nsundlaha ñgôli.
Ɓòŋhana mɛ̀ gwɔ̀m gwɛ̂m.	Bôñhana me gwom gwem.
Hı̀tam hi mɓoo nyɛ.	Hitam hi mbôô nye.
Màlùɛ mā nhignɛ mɛ̂!	Malue ma nhigne me!
Ŋ̀kɔgɔ pɛm, ŋ̀kɔgɔ sɔbɛ̂.	Ñkogo pem, ñkogo sobe.
"(Ikède màŋgànd...ɓa gweē dı̀lùŋ, nı̀ mbɛt, nı̀ dı̀ŋgɔ̀mà, nı̀ dı̀ɔŋ, nı̀ wây" (Yès 5,12).	"(Ikédé mañgand...ba gwéé diluñ, ni mbet, ni diñgoma, ni dioñ, ni way" (Yés 5,12).
Ù sı̀ŋis ɓâŋ nyɛ, nı̀ tà ɓe sɛgà.	U siñis bañ nye, ni ta bé sega.
Mbɔt ı̀ m̂pegēl mɛ ı̄ ɓòbôk.	Mbot i mpégél me i bôbôk.
Mɛ̀ ŋ̀kɛ ı̄ hɛ̀s bı̀ɓɛɛ.	Me ñke i hes bibee.
Ɓɔ̀ŋgɛ ɓa ŋgwēs ndoyòp.	Boñge ba ñgwés ndôyôp.
Mànyûŋ ma nnūgus biɓɛ̀ɓɛlà.	Manyuñ ma nnugus bibebela.
Dı̀ ŋ̀ûbnɛ mbɔt yes i pāŋ lēp.	Di ñubne mbot yés i pañ lép.
Màta ma soŋ ma nsùu lihɛp.	Mata ma sôñ ma nsuu lihep.
Ǹsɔn wɔ̂k u ye ɓàŋga jàm.	Nson wok u yé bañga jam.
Jǎŋgòlò li tee i ŋgɔ̀là ndap yɔ̂ŋ.	Jañgôlô li téé i ñgola ndap yoñ.
Bı̀jɛk gwɔŋ bi njebâ.	Bijek gwoñ bi njéba.
Lı̀tegâk jɔŋ li likondo li ye lı̀lam.	Litégak joñ li likôndô li yé lilam.
M̀penêk liɓam.	Mpénék libam.
Kɔ̀p nsɔn.	Kop nson.
Mı̀nlɛ̀ɛ̂m mi mpâŋgɓana i kède lı̀aa.	Minleem mi mpañgbana i kédé liaa.
I[204]ni à nnyùù hiòndɛ̀ i ŋgɔ̀k.	I[204]ni a nnyuu hiônde i ñgok.
À yè lɛ à yɔ̂ŋ wɛ̂ ɓòlo inyùu lı̀tɛ̀gɛ̀k lı̂!	A yé le a yoñ we bôlô inyuu litegek li!
Kɛ̀ mɔn mɔn; kɛ̀ mɔn mɔnà.	Ke mon mon; ke mon mona.
Hèya mǎn nu à ɓɔndi hā ı̄ pāŋ yɔ̂ŋ.	Héya man nu a bondi ha i pañ yoñ.
Kɛ̀na kààt ı̀ni bihūunɛ gwɔŋ.	Kena kaat ini bihuune gwoñ.
Lı̀yùmbı̀ li ɛ.	Liyumbi li e.
Sàŋ i mɓoonɛ i ŋgàbà bı̀jɛk.	Sañ i mbôône i ñgaba bijek.
Ɓa njɛ̄ matam ma hehee.	Ba nje matam ma héhéé.
Ù gweenɛ ı̀ni kèk, ù unūl ı̀pɛ.	U gwééne ini kék, u unul ipe.
Mɛ̀ ǹnɔŋɔ̄k nyɛ, mɛ̀ kobol nyɛ i tı̀ maɔ̀k.	Me nnoñok nye, me kôbôl nye i ti maok.
Mɛ̀ m̂ɓɔŋɔp i mbàà wɔ̀m wɛ̂m.	Me mboñop i mbaa wom wem.
Amb u nnɔ̄l binùga i ŋgı̀m maŋgèdà.	Amb u nnol binuga i ñgim mañgéda.
Màlep ma nnɛ̄nɛ njɛŋnjɛŋ wɛ̌ŋgɔ̀ŋlɛ krı̀stâl.	Malép ma nnene njeñnjeñ weñgoñle kristal.
Màhɔŋɔ̂l ma ntı̄gɓaha wɛ̂.	Mahoñol ma ntigbaha we.
"..Yi i ye cɛ̄ŋɓɛ̂s nı̀ nu à gwèe ɓàŋga yı̄" Bı̀ŋgèŋgên 14:6.	"..Yi i yé tjeñbes ni nu a gwéé bañga yi" Biñgéñgén 14:6.
Mɛ̀ ǹlama ti bikwàk inyùu yɔ̌m mɛ̀ binı̄mis wɛ̂.	Me nlama ti bikwak inyuu yom me binimis we.
Kùmbnà bı̀kut.	Kumbna bikut.
Dı̀njaŋga dı̄ kon (=hyı̀bi (hi) tolɛ̀).	Dinjañga di kôn (=hyibi (hi) tôle).
Ɓohol mɛ̀ lı̀kòga lini.	Bôhôl me likôga lini.
Kı̀i màŋgɛ à ǹnɔgɔp malep ma pondi, dı̀tı̀mbil di jôp nyɛ i nyùu.	Kii mañge a nnogop malép ma pôndi, ditimbil di jôp nye i nyuu.
Màwanda map maa.	Mawanda map maa.
Ù nlà camlà.	U nla tjamla.
Mɛ̀ ǹnedel liwanda jɛ̂m hı̀òndɛ̀.	Me nnédél liwanda jem hiônde.
Ù gwèe màmbɔt maŋɛn?	U gwéé mambot mañen?
Mànùnà ma ŋkàl ki mɛ̂?	Manuna ma ñkal ki me?
Lı̀ɓɛ̀mɓɛ̀gɛ̀ jɔŋ i ŋwɛ̀mɛl.	Libembege joñ i ñwemel.
Màŋgɛ à mɓı̄ŋɓa ni bı̀tèk.	Mañge a mbiñba ni biték.
Sùùɛnɛ mɛ̀ nyɛ, di jɔɔ̄.	Suuene me nye, di joo.
Dı̀ tògok, dı̀ câdnā dinɔ̀ɔ.	Di tôgôk, di tjadna dinoo.
Lı̀mɛ̀gɛ̀ li mût.	Limege li mut.
Màndap maâ.	Mandap maa.
À yòŋol mǎn ŋ̀kuu makay, à seŋ wɔ nı̀ ndɔ̀bɔ̀ nı̀ hı̀cɔ (Màn. 2,3).	A yôñôl man ñkuu makay, a séñ wo ni ndobo ni hitjo (Man. 2,3).
Bı̀ket bi yoni mɛ̀ i nàŋ.	Bikét bi yôni me i nañ.
Ɓòt ɓàhɔgi ɓa ŋāmb nyuu yak mùt ŋgambi.	Bôt bahogi ba ñamb nyuu yak mut ñgambi.
Ù galègel mɛ ı̄ni sōya nı̀ hı̀cɔ.	U galégél me ini sôya ni hitjo.
Màŋgɛ à ɓèmi hâ ŋwɛ̀mɛl.	Mañge a bémi ha ñwemel.
Wɛ̌n ù m̂peyha mɛ̂.	Wen u mpéyha me.
Fâm yěs màkɔ̀ndɔ̀ ı̀ ǹnum.	Fam yés makondo i nnum.
Lı̀nyà li jâm, lı̀nyà li kɛl.	Linya li jam, linya li kel.
Me ǹsɔmb katûs màsı̀s .	Mé nsomb katus masis .
Ǹsugi ù ŋkuhûl.	Nsugi u ñkuhul.
À ǹsoghà.	A nsôgha.
Mɛ̀ ǹhoɓa ŋgaŋgò.	Me nhôba ñgañgô.
À ńyādɓɛnɛ jol li Yesù.	A nyadbene jôl li Yésu.
Kùmbùl lı̀ɓàŋgà.	Kumbul libañga.
Kùmbùl lı̀ɓàŋgà.	Kumbul libañga.
Kùmbùl lı̀ɓàŋgà.	Kumbul libañga.
Kùmbùl lı̀ɓàŋgà.	Kumbul libañga.
Mùdàa à mpùŋgul nsugi.	Mudaa a mpuñgul nsugi.
Ŋgòmb ı̀ njɛ̄ nsɔ̀gɔ̂t (u) kɔɔ.	Ñgômb i nje nsogot (u) koo.
Ŋgɔ̀nd kɛmbɛɛ̀.	Ñgond kembee.
À ŋ̀kodol matoà likānda.	A ñkôdôl matôa likanda.
À ǹnimha mɛ màwanda mɛ̂m bı̀tòdò.	A nnimha me mawanda mem bitôdô.
Bı̀ɓɔ̀mbɔ.	Bibombo.
À yè mǎn keē.	A yé man kéé.
Dı̀ nsèbel ɓôt ɓa ŋŋɔmbɔk ɓa lɔ̂ŋ yes lɛ ɓàusa.	Di nsébél bôt ba ññombok ba loñ yés le bausa.
Màma à yı̀i i kòòŋgà.	Mama a yii i kôôñga.
Ŋɔ sibà.	Ño siba.
Kààt ı̀ni mɛ̀ ǹlɔnā wɛ nı̀ mɔ̀ni, mɛ̀ m̂ɓehèl òò.	Kaat ini me nlona we ni moni, me mbéhél ôô.
Ŋ̀kɔ̀l bı̀tòŋ à nhā mbogı̄ liēn.	Ñkol bitôñ a nha mbôgi lién.
Ŋgùma makōo kı̀i yɔ̀gi.	Ñguma makôô kii yogi.
Mùdàa à nhɔ̄ɔɓa laɓı̄ndà.	Mudaa a nhooba labinda.
Màjò à ŋ̀kɛ (ı̄) ŋgwàdɛ̀ m̂ɓòŋ.	Majô a ñke (i) ñgwade mbôñ.
Hı̀màla hi ɓeè yaga ɓalòòhaga (Màs 16,21).	Himala hi béé yaga balôôhaga (Mas 16,21).
Ǹlo wɛ̀m, wɔŋ, wèe, wěs, wǎp.	Nlô wem, woñ, wéé, wés, wap.
Ɓɔ̀ŋgɛ ɓa ńyamāl ntòk, ɓa ncɛ̄t lôk nyâŋ.	Boñge ba nyamal ntôk, ba ntjet lôk nyañ.
À ŋkɛ̀ à ŋkwāŋ mu ı̄ mbedge? mbegde?	A ñke a ñkwañ mu i mbédgé? mbégdé?
Tɔ̀njɛɛ à ŋkàl maasāŋ lɛ joŋ yɔmâ, à kòli nı̀ Gèhenà i hyèe. (Mt 5,22).	Tonjee a ñkal maasañ le jôñ yoma, a kôli ni Géhéna i hyéé. (Mt 5,22).
Mùt à yè tèk, à gatēmb ki mū.	Mut a yé ték, a gatémb ki mu.
Kı̀i mɛ̀ m̂mâl tomōl ndap, mɛ̀ pala ki kwès yɔ̂.	Kii me mmal tômôl ndap, me pala ki kwés yo.
Mɛ̀ ǹjɛ mpɛ̀lɛ ɓambòlò.	Me nje mpele bambôlô.
Dı̀ m̂ɓehā ŋgôy yēs bikay.	Di mbéha ñgôy yés bikay.
Nunu mùdàa à nsı̀ŋgɛ ɓɔn ɓee.	Nunu mudaa a nsiñge bon béé.
Yɔ̀m kɛŋi ini.	Yom keñi ini.
Kèè i mɓobòl.	Kéé i mbôbôl.
Jàm ù nsòmbòl, sùût!	Jam u nsômbôl, suut!
Ndi mɛ̀ ɓèmi hana lɛ̀n mɛ̀ ɛmblɛ̀gɛ̀ ɓàkèn ɓɛ̂m.	Ndi me bémi hana len me emblege bakén bem.
Màlɔk ma koòsi.	Malok ma kôôsi.
Lı̀ɓàn li lɔp.	Liban li lop.
Kɛmbɛ̂ yěs.	Kembe yés.
Bı̀kus bi gweē nyɛ̄.	Bikus bi gwéé nye.
Kı̀ı̀bà mùt ŋwàndi (i) mı̌s lɛ a tugɛ̄.	Kiiba mut ñwandi (i) mis le a tuge.
Inyùukı̄i ù nsēeɓana nyɛ?	Inyuukii u nséébana nye?
Kɔ̀k hı̀òndɛ̀.	Kok hiônde.
Nyùŋ à bisèes ŋgandàk hı̀òndɛ̀ mùu mbɔk.	Nyuñ a biséés ñgandak hiônde muu mbok.
À ǹseŋēs nsugi.	A nséñés nsugi.
Mùt ǹsòmbi à ǹtagɓɛ hana.	Mut nsômbi a ntagbe hana.
Mɛ̀ bikèba ni ǹsɔn (u) mbɛlɛ̂k (Yès 49,4).	Me bikéba ni nson (u) mbelek (Yés 49,4).
À ǹsedha mɛ màtı̀là, ɓa nsedha miŋɔ.	A nsédha me matila, ba nsédha miño.
Yɔ̀ŋɓà lı̀ɓuâ inyùu mànyâŋ.	Yoñba libua inyuu manyañ.
